"publicationTypes","zoomFactorFullScreen","year","searchResult","title","keywords","timesCited","authors","publishedDate","lastReadDate","lastReadPosition","uri","issue","pmid","timesRead","importedDate","tempAuthorString","url","affiliation","modifiedDate","volume","category","doi","flagged","zoomFactorTab","language","citeKey","rating","label","journal","zoomFactorPreview","markedDeleted","abstract","path","openAccess","pages","searchResultType",
"","","1999","0","A scalable and explicit event delivery mechanism for UNIX","","120","G Banga; J Mogul; P Druschel","1999-01-01 00:00:00 -0800","2010-10-10 12:17:18 -0700","0;{0; 792.198}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p396","","9835153714148270497related:oeErszF8fYgJ","1","2010-10-05 00:30:51 -0700","","http://portal.acm.org/citation.cfm?id=1268727","","2010-10-05 00:30:51 -0700","","","","0","1.192810416221619","","Banga:1999p396","0","","Proceedings of the annual …","1.191176414489746","0"," applications not wishing to block when doing I/O often use the select() system call; to wait for  on multiple file descriptors. The select()  works well for small-scale applications; but scales poorly as the number of file descriptors increases. Many modern ","/Users/deepak/Dropbox/Papers/1999/Banga/Proceedings of the annual … 1999 Banga.pdf","0","","Google Scholar",
"","1.5","2001","0","Hints for Computer System Design","","","Butler W Lampson","2001-03-28 15:59:00 -0800","2010-10-09 13:26:54 -0700","0;{0; 581.186}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p268","","492698","2","2010-10-04 22:27:45 -0700","","http://citeseer.ist.psu.edu/492698","Computer Science Laboratory; Xerox Palo Alto Research Center","2010-10-04 22:27:45 -0700","","","","0","1.192810416221619","eng","Lampson:2001p268","0","","","1.191176414489746","0","Studying the design and implementation of a number of computer has led to some general hintsfor system design. They are described here and illustrated by many examples; ranging fromhardware such as the Alto and the Dorado to application programs such as Bravo and Star.","/Users/deepak/Dropbox/Papers/2001/Lampson/2001 Lampson.pdf","0","","Citeseer",
"","","2000","0","Scalable content-aware request distribution in cluster-based networks servers","","291","M Aron; D Sanders; P Druschel","2000-01-01 00:00:00 -0800","2010-10-10 12:17:18 -0700","0;{0; 791.853}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p714","","6015865324141748092related:fB8PjqOlfFMJ","1","2010-10-05 00:45:34 -0700","","http://portal.acm.org/citation.cfm?id=1267750","","2010-10-05 00:45:34 -0700","","","","0","1.192810416221619","","Aron:2000p714","0","","Proceedings of the …","1.191176414489746","0"," We present a  architecture for -   in web  clusters. of the back-end nodes; which may forward the incoming  to another  9. Distributed Packet Rewriting and its Application to   Architectures; Proceedings of the ","/Users/deepak/Dropbox/Papers/2000/Aron/Proceedings of the … 2000 Aron.pdf","0","","Google Scholar",
"","","2004","0","accept()able Strategies for Improving Web Server Performance","","","Tim Brecht; David Pariag; Louay Gammo","2004-06-29 16:59:00 -0700","2010-10-10 12:17:18 -0700","0;{0; 792.198}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p366","","675523","1","2010-10-05 00:28:23 -0700","","http://citeseer.ist.psu.edu/675523","School of Computer Science; University of Waterloo","2010-10-05 00:28:23 -0700","","","","0","1.192810416221619","eng","Brecht:2004p366","0","","","1.191176414489746","0","This paper evaluates techniques for improving the performanceof three architecturally different web servers. Westudy strategies for effectively accepting incoming connectionsunder conditions of high load. Our experimental evaluationshows that the method used to accept new connectionrequests can significantly impact server performance.By modifying each server's accept strategy; we improve theperformance of the kernel-mode TUX server; the multithreadedKnot server and the event-driven server. Undertwo different workloads; we improve the throughputof these servers by as much as 19% -- 36% for TUX; 0%-- 32% for Knot; and 39% -- 71% for the server. Interestingly;the performance improvements realized by the usermodeserver allow it to obtain performance that rivals anunmodified TUX server.","/Users/deepak/Dropbox/Papers/2004/Brecht/2004 Brecht.pdf","0","","Citeseer",
"","","2000","0","httperf---A Tool for Measuring Web Server Performance","","","David Mosberger; Tai Jin","2000-01-09 16:00:00 -0800","2010-10-10 12:17:18 -0700","0;{0; 792.099}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p369","","410355","1","2010-10-05 00:29:52 -0700","","http://citeseer.ist.psu.edu/410355","","2010-10-05 00:29:52 -0700","","","","0","1.192810416221619","eng","Mosberger:2000p369","0","","","1.191176414489746","0","This paper describes httperf; a tool for measuringweb server performance. It provides a flexible facilityfor generating various HTTP workloads and formeasuring server performance. The focus of httperfis not on implementing one particular benchmarkbut on providing a robust; high-performance toolthat facilitates the construction of both micro- andmacro-level benchmarks. The three distinguishingcharacteristics of httperf are its robustness; whichincludes the ability to generate and sustain serveroverload; support for the HTTP/1.1 protocol; andits extensibility to new workload generators andperformance measurements. In addition to reportingon the design and implementation of httperf thispaper also discusses some of the experiences andinsights gained while realizing this tool.1 IntroductionA web system consists of a web server; a numberof clients; and a network that connects the clients tothe server. The protocol used to communicate betweenthe client and server is HTTP...","/Users/deepak/Dropbox/Papers/2000/Mosberger/2000 Mosberger.pdf","0","","Citeseer",
"","1.5","2003","0","Web search for a planet: The Google cluster architecture","","411","L Barroso; J Dean; U Holzle","2003-01-01 00:00:00 -0800","2010-10-04 18:30:52 -0700","0;{0; 792.099}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p63","","12794984267154315019related:C9dxdmbqkLEJ","2","2010-10-04 18:26:13 -0700","","http://ieeexplore.ieee.org/xpls/abs_all.jsp?&arnumber=1196112","","2010-10-04 18:33:38 -0700","","","","0","0.9281045794487","","Barroso:2003p63","5","","IEEE micro","1.191176414489746","0","Few  services require as much computation per request as  engines. On average; a single query on Google reads hundreds of megabytes of data and consumes tens of billions of CPU cycles. Supporting a peak request stream of thousands of queries per ","/Users/deepak/Dropbox/Papers/2003/Barroso/IEEE micro 2003 Barroso.pdf","0","","Google Scholar",
"","1.5","2003","0","Capriccio: scalable threads for internet services","","174","R Von Behren; J Condit; F Zhou","2003-01-01 00:00:00 -0800","2010-10-09 13:32:19 -0700","0;{-8.38134; 841.712}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p490","","8824517957232770964related:lD_q6lP8dnoJ","1","2010-10-05 00:35:04 -0700","","http://portal.acm.org/citation.cfm?id=945471","","2010-10-05 00:35:04 -0700","","","","0","1.226890802383423","","VonBehren:2003p490","0","","ACM SIGOPS …","1.193126082420349","0","ABSTRACT This paper presents ; a  package for use with high-concurrency servers. While recent work has advocated event-based systems; we believe that - based systems can provide a simpler programming model that achieves equivalent or superior ","/Users/deepak/Dropbox/Papers/2003/Von Behren/ACM SIGOPS … 2003 Von Behren.pdf","0","","Google Scholar",
"","","2003","0","Why Events Are A Bad Idea","","","Rob Von Behren; Jeremy Condit; Eric Brewer","2003-06-17 16:59:00 -0700","2010-10-10 12:17:18 -0700","0;{0; 792.099}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p466","","673767","1","2010-10-05 00:33:38 -0700","","http://citeseer.ist.psu.edu/673767","Computer Science Division ; University of California at Berkeley; {jrvb;","2010-10-05 00:33:38 -0700","","","","0","1.192810416221619","eng","Behren:2003p466","0","","","1.191176414489746","0","Event-based programming has been highly touted in recentyears as the best way to write highly concurrent applications.Having worked on several of these systems; we now believe thisapproach to be a mistake. Specifically; we believe that threadscan achieve all of the strengths of events; including supportfor high concurrency; low overhead; and a simple concurrencymodel. Moreover; we argue that threads allow a simpler andmore natural programming style.","/Users/deepak/Dropbox/Papers/2003/Behren/2003 Behren.pdf","0","","Citeseer",
"","","2003","0","Incentives build robustness in BitTorrent","","1823","B Cohen","2003-01-01 00:00:00 -0800","2010-10-10 12:17:18 -0700","0;{0; 791.951}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p884","","6571075782681859508related:tJXs-psmMVsJ","1","2010-10-05 01:02:03 -0700","","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.14.1911&rep=rep1&type=pdf","","2010-10-05 01:02:03 -0700","","","","0","1.192810416221619","","Cohen:2003p884","0","","Workshop on Economics of Peer-to-Peer systems","1.191176414489746","0","When a file is made available using HTTP; all upload cost is placed on the hosting machine. With BitTor- rent; when multiple people are downloading the same file at the same time; they upload pieces of the file to each other. This redistributes the cost of upload to ","/Users/deepak/Dropbox/Papers/2003/Cohen/Workshop on Economics of Peer-to-Peer systems 2003 Cohen.pdf","0","","Google Scholar",
"","1.5","2000","0","End-To-End Arguments In System Design","","","J. H Saltzer; D. P Reed; D. D Clark","2000-07-23 16:59:00 -0700","2010-10-04 22:24:22 -0700","0;{-62.8601; 702.089}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p215","","407760","2","2010-10-04 22:22:13 -0700","","http://citeseer.ist.psu.edu/407760","M.I.T. Laboratory for Computer Science","2010-10-04 22:25:01 -0700","","","","0","1.192810416221619","eng","Saltzer:2000p215","5","","","1.193126082420349","0","This paper presents a design principle that helps guide placement of functions among the","/Users/deepak/Dropbox/Papers/2000/Saltzer/2000 Saltzer-1.pdf","0","","Citeseer",
"","","2008","0","Bigtable: A distributed storage system for structured data","","529","F Chang; J Dean; S Ghemawat; W Hsieh","2008-01-01 00:00:00 -0800","2010-10-10 12:17:18 -0700","0;{0; 792.198}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p1068","","17617703893769980559related:jwotSlmofvQJ","1","2010-10-05 01:05:39 -0700","","http://portal.acm.org/citation.cfm?id=1365815.1365816","","2010-10-05 01:05:39 -0700","","","","0","1.192810416221619","","Chang:2008p1068","0","","… on Computer Systems …","1.191176414489746","0","This article was originally published as an award paper in the Proceedings of the 7th Symposium on Operating  Design and Implementation [Chang et al. 2006]. It is being republished here with minor modifications and clarifications. Authors' address: Google Inc.; 1600 ","/Users/deepak/Dropbox/Papers/2008/Chang/… on Computer Systems … 2008 Chang.pdf","0","","Google Scholar",
"","","2001","0","Lessons from giant-scale services","","","E Brewer","","2010-10-10 12:17:18 -0700","0;{0; 684.445}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p138","4","939450","1","2010-10-04 22:19:23 -0700","","http://ieeexplore.ieee.org/search/srchabstract.jsp?tp=&arnumber=939450&queryText%3D%28%28Lessons+from+Giant-Scale+Services%29%29%26openedRefinements%3D*%26sortType%3Ddesc_Publication+Year%26matchBoolean%3Dtrue%26rowsPerPage%3D50%26searchField%3DSearch+All","","2010-10-04 22:20:22 -0700","5","","10.1109/4236.939450","0","1.192810416221619","","Brewer:2001p138","5","","Internet Computing; IEEE","1.191176414489746","0","Web portals and ISPs such as AOL; Microsoft Network; and Yahoo have grown more than tenfold in the past five years (1996-2001). Despite their scale; growth rates; and rapid evolution of content and features; these sites and other “giant-scale” services like instant messaging and Napster must be always available. Many other major Web sites such as eBay; CNN; and Wal-Mart; have similar availability requirements. The article looks at the basic model for such services; focusing on the key real-world challenges they face (high availability; evolution; and growth); and developing some principles for attacking these problems. Few of the points made in the article are addressed in the literature; and most of the conclusions take the form of principles and approaches rather than absolute quantitative evaluations. This is due partly to the author's focus on high-level design; partly to the newness of the area; and partly to the proprietary nature of some of the information (which represents 15-20 very large sites). Nonetheless; the lessons are easy to understand and apply; and they simplify the design of large systems","/Users/deepak/Dropbox/Papers/2001/Brewer/Internet Computing IEEE 2001 Brewer.pdf","0","46 - 55","IEEE Xplore",
"","","2003","0","The Google file system","","1291","S Ghemawat; H Gobioff; S Leung","2003-01-01 00:00:00 -0800","2010-10-10 12:17:18 -0700","0;{0; 791.853}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p906","","12528813212514513702related:JvMlfTxJ360J","1","2010-10-05 01:02:48 -0700","","http://portal.acm.org/citation.cfm?id=1165389.945450","","2010-10-05 01:02:48 -0700","","","","0","1.192810416221619","","Ghemawat:2003p906","0","","ACM SIGOPS Operating …","1.191176414489746","0","ABSTRACT We have designed and implemented the  Sys- tem; a scalable distributed for large distributed data-intensive applications. It provides fault tolerance while running on inexpensive commodity hardware; and it delivers high aggregate performance to a ","/Users/deepak/Dropbox/Papers/2003/Ghemawat/ACM SIGOPS Operating … 2003 Ghemawat.pdf","0","","Google Scholar",
